date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:57	273368/273368	---M--	200	added ('OK')	text/html	etag:%2242bd8-5cc241a2b3420%22	https://mobidrive.com.br/assets/vendor/boxicons/fonts/boxicons.ttf	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/vendor/boxicons/fonts/boxicons-3.html	(from https://mobidrive.com.br/assets/vendor/boxicons/css/boxicons.min.css)
18:05:57	8880/8880	---M--	200	added ('OK')	text/html	etag:%2222b0-5cc241a6bf258%22	https://mobidrive.com.br/plano-premium/index.html	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/plano-premium/index-2.html	(from https://mobidrive.com.br/plano-premium/)
18:05:58	18920/18920	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Dec%202021%2021:05:56%20GMT	https://mobidrive.com.br/plano-premium/contratar.php	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/plano-premium/contratar.html	(from https://mobidrive.com.br/plano-premium/)
18:05:58	975365/975365	---M--	200	added ('OK')	image/svg+xml	etag:%22ee205-5cc241a29b168%22	https://mobidrive.com.br/assets/vendor/boxicons/fonts/boxicons.svg?	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/vendor/boxicons/fonts/boxiconsd41d.svg	(from https://mobidrive.com.br/assets/vendor/boxicons/css/boxicons.min.css)
18:05:58	2646/2646	---M--	200	added ('OK')	application/javascript	etag:%22a56-5cc241908cc60%22	https://mobidrive.com.br/assets/vendor/php-email-form/validate.js	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/assets/vendor/php-email-form/validate.js	(from https://mobidrive.com.br/plano-premium/)
18:05:59	8886/8886	---M--	200	added ('OK')	text/html	etag:%2222b6-5cc241a611ce8%22	https://mobidrive.com.br/plano-advanced/index.html	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/plano-advanced/index-2.html	(from https://mobidrive.com.br/plano-advanced/)
18:05:59	488/488	---M--	404	error ('Not%20Found')	text/html	etag:%221e8-44a49486ccac0%22	https://mobidrive.com.br/plano-premium/politica-privacidade/	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/plano-premium/politica-privacidade/index.html	(from https://mobidrive.com.br/plano-premium/)
18:05:59	18278/18278	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Dec%202021%2021:05:58%20GMT	https://mobidrive.com.br/plano-advanced/contratar.php	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/plano-advanced/contratar.html	(from https://mobidrive.com.br/plano-advanced/)
18:05:59	9562/9562	---M--	200	added ('OK')	text/html	etag:%22255a-5cc241a780818%22	https://mobidrive.com.br/plano-vip/index.html	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/plano-vip/index-2.html	(from https://mobidrive.com.br/plano-vip/)
18:05:59	488/488	---M--	404	error ('Not%20Found')	text/html	etag:%221e8-44a49486ccac0%22	https://mobidrive.com.br/plano-advanced/politica-privacidade/	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/plano-advanced/politica-privacidade/index.html	(from https://mobidrive.com.br/plano-advanced/)
18:06:00	19381/19381	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Dec%202021%2021:05:58%20GMT	https://mobidrive.com.br/plano-vip/contratar.php	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/plano-vip/contratar.html	(from https://mobidrive.com.br/plano-vip/)
18:06:00	21838/21838	---M--	200	added ('OK')	text/html	etag:%22554e-5cc241a83ac90%22	https://mobidrive.com.br/politica-privacidade/index.html	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/politica-privacidade/index-2.html	(from https://mobidrive.com.br/politica-privacidade/)
18:06:01	488/488	---M--	404	error ('Not%20Found')	text/html	etag:%221e8-44a49486ccac0%22	https://mobidrive.com.br/plano-vip/politica-privacidade/	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/plano-vip/politica-privacidade/index.html	(from https://mobidrive.com.br/plano-vip/)
18:06:01	488/488	---M--	404	error ('Not%20Found')	text/html	etag:%221e8-44a49486ccac0%22	https://mobidrive.com.br/politica-privacidade/politica-privacidade/	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/politica-privacidade/politica-privacidade/index.html	(from https://mobidrive.com.br/politica-privacidade/)
18:06:01	140421/140421	---M--	200	added ('OK')	text/css	etag:%2222485-5a8dc9b388f80%22	https://mobidrive.com.br/css/bootstrap.min.css	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/css/bootstrap.min.css	(from https://mobidrive.com.br/confirmacao_contato.php)
18:06:01	66203/66203	---M--	200	added ('OK')	text/css	etag:%221029b-5a8dc9b388f80%22	https://mobidrive.com.br/css/animate.css	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/css/animate.css	(from https://mobidrive.com.br/confirmacao_contato.php)
18:06:01	31000/31000	---M--	200	added ('OK')	text/css	etag:%227918-5a8dc9d3019c0%22	https://mobidrive.com.br/font-awesome/css/font-awesome.min.css	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/font-awesome/css/font-awesome.min.css	(from https://mobidrive.com.br/confirmacao_contato.php)
18:06:01	76047/76047	---M--	200	added ('OK')	image/png	etag:%221290f-5a8dc9e6146c0%22	https://mobidrive.com.br/img/logo.png	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/img/logo.png	(from https://mobidrive.com.br/confirmacao_contato.php)
18:06:02	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Dec%202021%2021:06:00%20GMT	https://mobidrive.com.br/index.php	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/index.php	(from https://mobidrive.com.br/confirmacao_contato.php)
18:06:02	197782/197782	---M--	200	added ('OK')	text/css	etag:%2230496-5a8dc9b47d1c0%22	https://mobidrive.com.br/css/style.css	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/css/style.css	(from https://mobidrive.com.br/confirmacao_contato.php)
18:06:02	16/16	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Dec%202021%2021:06:01%20GMT	https://mobidrive.com.br/contato.php	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/contato.php	(from https://mobidrive.com.br/confirmacao_contato.php)
18:06:02	86709/86709	---M--	200	added ('OK')	application/javascript	etag:%22152b5-5a8dca54b4bc0%22	https://mobidrive.com.br/js/jquery-3.1.1.min.js	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/js/jquery-3.1.1.min.js	(from https://mobidrive.com.br/confirmacao_contato.php)
18:06:03	19187/19187	---M--	200	added ('OK')	application/javascript	etag:%224af3-5a8dca54b4bc0%22	https://mobidrive.com.br/js/popper.min.js	C:/Meus%20Sites/FELIPE%20NATAL/mobidrive.com.br/js/popper.min.js	(from https://mobidrive.com.br/confirmacao_contato.php)
